A1946,01:34:44,56994218611,MOVISTAR
A1946,02:05:03,56969502890,GTD
C0894,03:04:25,56920014761,VTR
C0894,03:11:10,56999648462,GTD
B0341,03:35:07,56920014761,VTR
A1946,05:52:40,56920014761,VTR
A1946,10:35:46,56900091288,VIRGIN
A1946,12:27:13,56920014761,VTR
D1755,12:59:54,56994991244,CLARO
A1946,13:39:01,56927924445,MOVISTAR
C0894,13:45:17,56907251150,WOM
B0341,15:41:38,56920014761,VTR
B0341,16:09:15,56994991244,CLARO
A1946,17:39:32,56994991244,CLARO
D1755,18:07:28,56999648462,GTD
A1946,19:33:37,56907251150,WOM
B0341,22:51:17,56907251150,WOM
C0894,23:24:31,56999648462,GTD
B0341,23:27:08,56920014761,VTR
D1755,23:54:23,56952026015,ENTEL
